file,rt60_s,edt_s,r2,c50_db,c80_db,snr_db,quality,method,mode,capped,spl_leq_db,spl_lmax_db,spl_l10_db,spl_l90_db
"Bedroom 2, centre, closed, earphone, 1.m4a",0.4871403022088341,0.41899620852079167,0.9915733622021393,7.289836697155257,11.917799424721743,53.829727352677864,OK,REG,ML Test · Phone-safe,False,91.16605377197266,97.29439027402267,97.27477449651045,40.6208575588636
"Bedroom 2, centre, closed, earphone, 2.m4a",0.5086490877605309,0.34408611930616795,0.9912372988149204,8.844334412971387,12.937521144547867,66.49420155769707,OK,REG,ML Test · Phone-safe,False,87.66938018798828,94.51985042583338,94.28968084277717,40.69173712756227
"Bedroom 2, centre, closed, earphone, 3.m4a",0.4789268495100228,0.4226089854277511,0.9981853503441216,6.450016802461497,11.271743534904733,64.58971600969363,OK,REG,ML Test · Phone-safe,False,77.74640655517578,85.93610703864586,84.20009418107657,37.95828221273152
"Bedroom 2, centre, closed, earphone, 4.m4a",0.4638565824821072,0.3772088713603732,0.9972144741439753,7.051239075485979,12.31455452849261,65.81568101825862,OK,REG,ML Test · Phone-safe,False,80.04633331298828,88.67673722839001,80.78237956907816,39.344634582624444
"Bedroom 2, centre, open, earphone, 1.m4a",0.6195093724244137,0.3894134948697778,0.9503495707921992,6.862521561166076,11.584542331730363,52.5718171465589,OK,REG,ML Test · Phone-safe,False,86.9164810180664,94.45860963029126,94.06267611570338,40.05631044710344
"Bedroom 2, centre, open, earphone, 2.m4a",3.7697385416666664,0.2010213594918489,0.424962413560655,10.44309965954421,14.608039965961705,57.48351957598718,CHECK,REG,ML Test · Phone-safe,True,46.593963623046875,52.666025417025786,52.37988781245039,41.383777808416674
"Bedroom 2, centre, open, earphone, 3.m4a",0.5045826241960167,0.2592480332137031,0.9888278183894542,10.22154165838235,14.622391781311405,63.48201414375075,OK,REG,ML Test · Phone-safe,False,89.0662612915039,96.55631756479767,96.54831793088134,41.01175591258716
"Bedroom 2, centre, open, earphone, 4.m4a",0.4957012466177417,0.28358814101626306,0.985761715951015,8.658649341301071,13.353632448816823,63.33161341418618,OK,REG,ML Test · Phone-safe,False,75.7142562866211,82.98325559387708,82.69995899268456,39.26674189160947
"Bedroom 2, corner, closed, earphone, 1.m4a",0.6276689470609428,0.12158138467720223,0.9309243854791835,14.022031164278001,18.717634691948287,60.62777805113181,OK,REG,ML Test · Phone-safe,False,72.6929931640625,80.5114968887398,80.15205582083905,42.16240989941555
"Bedroom 2, corner, closed, earphone, 2.m4a",1.7321790236955106,0.1983467766628962,0.6538055413649639,11.759097903798128,16.23177509905288,60.991106124119064,CHECK,REG,ML Test · Phone-safe,False,85.72511291503906,93.90070587831806,89.73423889690446,46.68051407113123
"Bedroom 2, corner, closed, earphone, 3.m4a",0.5927495760442744,0.12143603429181793,0.9472848952142042,12.886732625154885,16.99033721119226,57.35427981316554,OK,REG,ML Test · Phone-safe,False,68.38114929199219,76.07471510899855,76.0728832998438,45.77881233786985
"Bedroom 2, corner, closed, earphone, 4.m4a",4.250082291666666,0.19224029197387088,0.42204950953725506,11.71303887025754,15.985983997350049,57.85210742951243,CHECK,REG,ML Test · Phone-safe,True,76.77055358886719,84.1305109101112,82.39984026759241,51.85249447115339
"Bedroom 2, corner, open, earphone, 1.m4a",0.49736659903848757,0.20832891539707837,0.9764347554072547,12.036640293638154,16.988883676208065,58.55219554497169,OK,REG,ML Test · Phone-safe,False,74.75830078125,82.94409706304904,81.52047190382538,43.240238588524406
"Bedroom 2, corner, open, earphone, 2.m4a",0.47224011440600244,0.09481037227458734,0.9628911023743004,13.556742440054059,18.231171967832807,59.9504837868964,OK,REG,ML Test · Phone-safe,False,65.44071960449219,73.64328811934149,71.12312715652274,42.35899968540733
"Bedroom 2, corner, open, earphone, 3.m4a",0.5226838211243748,0.29593415008544166,0.9668295027923197,9.819740450426357,15.641488139345594,61.20787859750002,OK,REG,ML Test · Phone-safe,False,86.02295684814453,93.6908167024141,93.69026435879974,42.92454618327839
"Bedroom 2, corner, open, earphone, 4.m4a",1.1052422803492994,0.30464499064538986,0.7823632149580126,9.365415855583267,13.579703220846824,60.96753819594036,CHECK,REG,ML Test · Phone-safe,False,90.07952117919922,98.2413529395094,93.64865900417428,43.02750055993213
"Bedroom 2, mid, closed, earphone, 1.m4a",0.45821065953257856,0.3724468732960045,0.9956595206624872,7.7032810492699735,12.757413322689274,61.82586072984456,OK,REG,ML Test · Phone-safe,False,73.79023742675781,81.2782199081093,81.01128260062208,40.761310612424836
"Bedroom 2, mid, closed, earphone, 2.m4a",0.45163777340998,0.37193897528130154,0.9945051719020086,7.733907098603864,12.82338887481193,63.08924544848895,OK,REG,ML Test · Phone-safe,False,71.16900634765625,78.9105900335062,78.53901897340444,39.43594073103489
"Bedroom 2, mid, closed, earphone, 3.m4a",0.4593871150804019,0.3665083543158336,0.9952182453009554,8.454318517397475,13.554026592147668,63.457702119531675,OK,REG,ML Test · Phone-safe,False,65.04346466064453,72.83783052746983,72.83444672836825,39.92292178592623
"Bedroom 2, mid, closed, earphone, 4.m4a",0.4604548206922915,0.3747718384916183,0.9980328096137389,7.227610166792794,12.054618017296699,63.28263846531555,OK,REG,ML Test · Phone-safe,False,79.11009216308594,86.41411896241033,86.3850615175652,40.10823944327206
"Bedroom 2, mid, open, earphone, 1.m4a",2.8827749999999996,0.15036585267995023,0.46215674013778735,11.05880817053108,15.611640030901874,61.93555367967106,CHECK,REG,ML Test · Phone-safe,True,77.58135223388672,83.59341907314035,83.32794109145921,45.025913376279775
"Bedroom 2, mid, open, earphone, 2.m4a",0.4472174985853699,0.3918755517747086,0.9945507691415207,7.131076330202147,12.34214429085922,62.51412715231642,OK,REG,ML Test · Phone-safe,False,83.328857421875,91.25780623323944,90.92128973402546,44.513714988778396
"Bedroom 2, mid, open, earphone, 3.m4a",0.45875960563905144,0.3472889318566828,0.9970270479309385,7.731971383599948,12.510259839067814,62.01234014264378,OK,REG,ML Test · Phone-safe,False,63.992095947265625,71.52434188713318,71.32865819306873,43.87579003819914
"Bedroom 2, mid, open, earphone, 4.m4a",0.44186580196174535,0.3651788835621014,0.9973365540940428,8.046608604740864,13.391248065192007,63.83173043642699,OK,REG,ML Test · Phone-safe,False,75.26165771484375,82.97290793086775,82.37806176635019,44.42864502527627
"Bedroom 3, centre, closed, earphone, 1.m4a",1.9998260570223678,0.25802415346106794,0.62779669962712,10.83583326660684,14.81827684723342,43.28030146784471,CHECK,REG,ML Test · Phone-safe,False,66.17418670654297,72.92653961187024,69.20601075412418,39.059271741828844
"Bedroom 3, centre, closed, earphone, 2.m4a",3.7220406249999995,0.22056135224821888,0.45106234044465976,10.43338325515536,15.065496750091313,57.277063631760335,CHECK,REG,ML Test · Phone-safe,True,58.110450744628906,66.29825239427666,64.14183762696737,37.63757779398237
"Bedroom 3, centre, closed, earphone, 3.m4a",2.5799427083333333,0.23989581698300846,0.5190749788506974,9.155930544764093,14.208107336693548,57.61086105451766,CHECK,REG,ML Test · Phone-safe,True,50.731239318847656,56.38374254430497,56.37993376897895,38.44715721872275
"Bedroom 3, centre, closed, earphone, 4.m4a",4.112866666666666,0.09449813561230189,0.70793529460329,13.176704992295923,17.11318743324202,50.62442016086233,CHECK,REG,ML Test · Phone-safe,True,46.300621032714844,53.00676501764356,52.98578614083557,37.59283872662735
"Bedroom 3, centre, open, earphone, 1.m4a",5.564763541666666,0.38904989689677755,0.7191077272209099,6.369609504741669,10.284814008417255,36.524213935629305,CHECK,REG,ML Test · Phone-safe,True,64.697509765625,72.83343485130547,65.0978723403572,40.365025559394724
"Bedroom 3, centre, open, earphone, 2.m4a",4.560910416666666,0.3555871912506234,0.43049022853598956,7.824191293247161,11.341588371068571,56.20647722078821,CHECK,REG,ML Test · Phone-safe,True,52.68718719482422,60.88550422334326,58.90104746392394,38.598557365355845
"Bedroom 3, centre, open, earphone, 3.m4a",4.868908333333334,0.40857034045405793,0.5765376458855589,6.577287471659438,10.727313022366584,55.486962755650644,CHECK,REG,ML Test · Phone-safe,True,50.7037467956543,59.204186964095626,55.39686481781219,38.457249990715944
