file,band_lo_hz,band_hi_hz,band_label,band_tag,rt60_s,r2,method,quality,capped,mode
"Bedroom 2, centre, closed, earphone, 1.m4a",125.0,250.0,,125–250,0.4459274374533392,0.8336629413600785,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 1.m4a",250.0,500.0,,250–500,0.47309141086870193,0.9890076243904373,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 1.m4a",500.0,2000.0,,500–2k,0.5026847737327261,0.987192302135529,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 1.m4a",2000.0,4000.0,,2k–4k,0.5395313656633313,0.9838921984102943,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 1.m4a",4000.0,8000.0,,4k–8k,0.46110791964810105,0.9964906452508189,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 2.m4a",125.0,250.0,,125–250,0.3586689435562328,0.7474691500068541,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 2.m4a",250.0,500.0,,250–500,0.3490669763327505,0.9026972261239757,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 2.m4a",500.0,2000.0,,500–2k,0.5714978670594885,0.975499639041351,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 2.m4a",2000.0,4000.0,,2k–4k,0.5095851131875807,0.9935295278564663,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 2.m4a",4000.0,8000.0,,4k–8k,0.47831322039005725,0.9982205043306396,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 3.m4a",125.0,250.0,,125–250,4.064832291666667,0.8410449878021878,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 3.m4a",250.0,500.0,,250–500,4.066752083333333,0.601325061707535,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 3.m4a",500.0,2000.0,,500–2k,0.4938730114801936,0.9949000363344173,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 3.m4a",2000.0,4000.0,,2k–4k,0.47675052626639197,0.9986125125662723,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 3.m4a",4000.0,8000.0,,4k–8k,0.46489184466028616,0.9979320475952417,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 4.m4a",125.0,250.0,,125–250,5.486507291666666,0.5809411177826717,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 4.m4a",250.0,500.0,,250–500,0.42931497938432217,0.9862492665911632,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 4.m4a",500.0,2000.0,,500–2k,0.45667245510467736,0.99770885159736,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 4.m4a",2000.0,4000.0,,2k–4k,0.49714336478081017,0.9965534745405829,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, closed, earphone, 4.m4a",4000.0,8000.0,,4k–8k,0.4617324190603522,0.9985050349951846,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 1.m4a",125.0,250.0,,125–250,4.012146874999999,0.5044151693268,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 1.m4a",250.0,500.0,,250–500,0.9958515881230996,0.8048268688228419,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 1.m4a",500.0,2000.0,,500–2k,0.5455772707647123,0.9773670180183623,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 1.m4a",2000.0,4000.0,,2k–4k,0.5318747033718174,0.9868691775051165,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 1.m4a",4000.0,8000.0,,4k–8k,0.45293620018720465,0.9910608802138995,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 2.m4a",125.0,250.0,,125–250,3.7705499999999996,0.9331462476997361,REG,OK,True,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 2.m4a",250.0,500.0,,250–500,3.7694812499999997,0.851447768706492,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 2.m4a",500.0,2000.0,,500–2k,0.5538919579095665,0.9591561322680754,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 2.m4a",2000.0,4000.0,,2k–4k,0.4969047532647637,0.9953902275817863,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 2.m4a",4000.0,8000.0,,4k–8k,5.578083333333334,0.38000345712145195,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 3.m4a",125.0,250.0,,125–250,1.370936893419459,0.41540900821295407,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 3.m4a",250.0,500.0,,250–500,0.6804334520109087,0.9322151580770607,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 3.m4a",500.0,2000.0,,500–2k,0.49123891986112744,0.9899072485691502,REG,OK,False,ML Test · Phone-safe
"Bedroom 2, centre, open, earphone, 3.m4a",2000.0,4000.0,,2k–4k,0.5005866492484624,0.9935594786423768,REG,OK,False,ML Test · Phone-safe
