file,rt60_s,edt_s,r2,c50_db,c80_db,snr_db,quality,method,mode,capped,spl_leq_db,spl_lmax_db,spl_l10_db,spl_l90_db
"Bathroom, centre, closed, mic, 1.m4a",1.036906565323309,0.9690498002892953,0.999483942691802,1.3311735149402897,3.6678301398209,57.30992479389198,OK,REG,ML Test · Phone-safe,False,58.82704162597656,65.6445715452662,55.8626316903774,43.48960858245403
"Bathroom, centre, closed, mic, 2.m4a",1.208680920246921,0.97830809369239,0.9980651580739348,1.9479631059916047,4.772427992116844,59.433779719745594,OK,REG,ML Test · Phone-safe,False,58.336387634277344,66.28241726086006,54.27788169432376,42.14821032290813
"Bathroom, centre, closed, mic, 3.m4a",1.3306225588447822,1.0876592327810555,0.9908494359029733,2.8344512990462727,4.955369731910965,61.58618490530803,OK,REG,ML Test · Phone-safe,False,57.86977767944336,66.04613914342286,53.82813109929245,42.04805035403409
"Bathroom, centre, closed, mic, 4.m4a",1.2269764105738061,1.0057709745160317,0.9980794114484695,2.232206533533206,4.725463198449452,60.676918520971526,OK,REG,ML Test · Phone-safe,False,57.93184280395508,66.41548152901933,56.15242768235725,40.901717145915065
"Bathroom, corner, closed, mic, 1.m4a",1.062740565016293,0.9038070514376434,0.9995595701146607,3.608486707330722,6.016039529865208,61.325315367286805,OK,REG,ML Test · Phone-safe,False,58.68413162231445,65.57187889694546,57.652515261792665,43.20699948343407
"Bathroom, corner, closed, mic, 2.m4a",1.1958888994152719,0.9151576369455335,0.9969012511585128,3.2152768669839022,5.490495551135613,63.088770236861336,OK,REG,ML Test · Phone-safe,False,58.660118103027344,66.17035392976162,57.59702444632961,41.35873586129215
"Bathroom, corner, closed, mic, 3.m4a",1.1957025683450166,0.8992225259172384,0.9979925271153118,2.5853035690818333,5.306958657836237,54.06438286346302,OK,REG,ML Test · Phone-safe,False,58.518516540527344,66.43736158783763,53.21222883460797,39.63288478974377
"Bathroom, corner, closed, mic, 4.m4a",1.3204979395552519,0.9163869766626216,0.9981364852149321,2.3347495214936083,4.754995319309714,64.54070993830364,OK,REG,ML Test · Phone-safe,False,59.338165283203125,65.83173756566327,59.40611370360279,41.244902552476134
"Bedroom 1, centre, closed, mic, 1.m4a",0.639304393660329,0.05632479602088044,0.9386655931331184,12.233139536470226,12.651757719166433,60.45352309359822,OK,REG,ML Test · Phone-safe,False,93.76536560058594,103.34336322057482,95.19157827232601,44.83598768554607
"Bedroom 1, centre, closed, mic, 2.m4a",0.4312244658019947,0.050546298937731875,0.9932409077483658,16.45330821256945,21.008714097817478,61.75187614881982,OK,REG,ML Test · Phone-safe,False,75.06694793701172,82.88948936585933,82.49057193234736,41.41086591190806
