file,band_lo_hz,band_hi_hz,band_label,band_tag,rt60_s,r2,method,quality,capped,mode
"Bathroom, centre, closed, mic, 1.m4a",125.0,250.0,,125–250,3.250167708333333,0.772365428040245,REG,CHECK,True,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 1.m4a",250.0,500.0,,250–500,1.3585745618135479,0.9610755396555482,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 1.m4a",500.0,2000.0,,500–2k,1.1078108991992643,0.9996354969389799,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 1.m4a",2000.0,4000.0,,2k–4k,0.9649477086297014,0.9997223487285968,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 1.m4a",4000.0,8000.0,,4k–8k,0.846493840536392,0.99964499034734,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 2.m4a",125.0,250.0,,125–250,4.812858333333333,0.5605872508488774,REG,CHECK,True,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 2.m4a",250.0,500.0,,250–500,1.0683131834753312,0.997218123329153,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 2.m4a",500.0,2000.0,,500–2k,1.2883466157004781,0.9990022617791013,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 2.m4a",2000.0,4000.0,,2k–4k,0.9953732121582376,0.99938034043584,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 2.m4a",4000.0,8000.0,,4k–8k,0.8361405396390654,0.9987842533794237,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 3.m4a",125.0,250.0,,125–250,5.461114583333334,0.7649815889221361,REG,CHECK,True,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 3.m4a",250.0,500.0,,250–500,1.1889829245135695,0.9964434228314664,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 3.m4a",500.0,2000.0,,500–2k,1.4538524518986378,0.9920627655448967,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 3.m4a",2000.0,4000.0,,2k–4k,0.9592146548809392,0.9990215085839034,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 3.m4a",4000.0,8000.0,,4k–8k,0.8575846531052871,0.9997548979431838,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 4.m4a",125.0,250.0,,125–250,5.785836458333333,0.7575733116163204,REG,CHECK,True,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 4.m4a",250.0,500.0,,250–500,1.129873321446359,0.9901580034377321,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 4.m4a",500.0,2000.0,,500–2k,1.2704218960511549,0.9983541581550324,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 4.m4a",2000.0,4000.0,,2k–4k,1.0068842401875457,0.9993348848633989,REG,OK,False,ML Test · Phone-safe
"Bathroom, centre, closed, mic, 4.m4a",4000.0,8000.0,,4k–8k,0.8606916848447331,0.9995232715337221,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 1.m4a",125.0,250.0,,125–250,0.8688691759661296,0.9909050294451931,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 1.m4a",250.0,500.0,,250–500,0.9834128408367804,0.9945542815385656,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 1.m4a",500.0,2000.0,,500–2k,1.097483065354851,0.9991130043313624,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 1.m4a",2000.0,4000.0,,2k–4k,0.9684308034717399,0.9995928467910201,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 1.m4a",4000.0,8000.0,,4k–8k,0.8453344415124404,0.999439421702332,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 2.m4a",125.0,250.0,,125–250,4.105385416666667,0.5054484531211001,REG,CHECK,True,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 2.m4a",250.0,500.0,,250–500,1.0353342193705928,0.9992240441723527,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 2.m4a",500.0,2000.0,,500–2k,1.249746342049027,0.996378049254241,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 2.m4a",2000.0,4000.0,,2k–4k,0.9589083159242892,0.9991082970983499,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 2.m4a",4000.0,8000.0,,4k–8k,0.8126058372440429,0.9990638311275802,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 3.m4a",125.0,250.0,,125–250,3.75166875,0.7041653261903054,REG,CHECK,True,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 3.m4a",250.0,500.0,,250–500,1.277333670816425,0.996253888349473,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 3.m4a",500.0,2000.0,,500–2k,1.2239385371730382,0.9988342952512794,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 3.m4a",2000.0,4000.0,,2k–4k,0.970866500162959,0.9990411859083707,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 3.m4a",4000.0,8000.0,,4k–8k,0.8415966354579474,0.9996307090305698,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 4.m4a",125.0,250.0,,125–250,3.2476739583333334,0.5633086212065727,REG,CHECK,True,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 4.m4a",250.0,500.0,,250–500,1.1150816745494683,0.9951258943067695,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 4.m4a",500.0,2000.0,,500–2k,1.3819803855787223,0.9988559820526136,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 4.m4a",2000.0,4000.0,,2k–4k,0.9314671448800163,0.999002356602005,REG,OK,False,ML Test · Phone-safe
"Bathroom, corner, closed, mic, 4.m4a",4000.0,8000.0,,4k–8k,0.8406113664185546,0.9993733030571157,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 1.m4a",125.0,250.0,,125–250,0.24260444828645772,0.8954653040073429,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 1.m4a",250.0,500.0,,250–500,6.2593125,0.2203778418751205,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 1.m4a",500.0,2000.0,,500–2k,0.662143604105213,0.9357902388629835,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 1.m4a",2000.0,4000.0,,2k–4k,0.6430441194386325,0.9423227530527046,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 1.m4a",4000.0,8000.0,,4k–8k,0.6140891039275685,0.9296332493190556,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 2.m4a",125.0,250.0,,125–250,4.503653125,0.24896226286917217,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 2.m4a",250.0,500.0,,250–500,0.5037945876919793,0.9701589625261556,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 2.m4a",500.0,2000.0,,500–2k,0.4227229222417224,0.9847966642897991,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 2.m4a",2000.0,4000.0,,2k–4k,0.4622401194641848,0.9949809571106791,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 2.m4a",4000.0,8000.0,,4k–8k,0.4084612423229508,0.9939737372221195,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 3.m4a",125.0,250.0,,125–250,5.693152083333333,0.8649395884290645,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 3.m4a",250.0,500.0,,250–500,5.691628124999999,0.6795025704212464,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 3.m4a",500.0,2000.0,,500–2k,0.48211099645607053,0.9910534576665629,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 3.m4a",2000.0,4000.0,,2k–4k,0.4728203878476341,0.998426234344993,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 3.m4a",4000.0,8000.0,,4k–8k,0.4360753980354985,0.9956818335311773,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 4.m4a",125.0,250.0,,125–250,4.1745375000000005,0.5029798591700857,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 4.m4a",250.0,500.0,,250–500,2.5074385462654605,0.593217415115324,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 4.m4a",500.0,2000.0,,500–2k,0.47492400253723993,0.996067137470063,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 4.m4a",2000.0,4000.0,,2k–4k,0.45743094696498127,0.9989465435593521,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, closed, mic, 4.m4a",4000.0,8000.0,,4k–8k,0.43457052225833065,0.9947352877821234,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 1.m4a",125.0,250.0,,125–250,4.172380208333333,0.5353966083583988,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 1.m4a",250.0,500.0,,250–500,0.9766624147357833,0.8024756489441198,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 1.m4a",500.0,2000.0,,500–2k,0.43682072096082447,0.991461318505909,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 1.m4a",2000.0,4000.0,,2k–4k,0.47460143666059074,0.9971608569899776,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 1.m4a",4000.0,8000.0,,4k–8k,0.40312008303063845,0.9964611439516425,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 2.m4a",125.0,250.0,,125–250,3.3677104166666663,0.897260498370524,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 2.m4a",250.0,500.0,,250–500,0.9653671586949335,0.8147742819238811,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 2.m4a",500.0,2000.0,,500–2k,0.4556249766559471,0.9945880356670168,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 2.m4a",2000.0,4000.0,,2k–4k,0.4447833352909091,0.9976206750411647,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 2.m4a",4000.0,8000.0,,4k–8k,0.3958599517720339,0.9920593752290637,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 3.m4a",125.0,250.0,,125–250,0.3306303980509491,0.967551331078844,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 3.m4a",250.0,500.0,,250–500,0.451193593940304,0.9879028861489114,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 3.m4a",500.0,2000.0,,500–2k,0.4491985097858184,0.9948023411124609,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 3.m4a",2000.0,4000.0,,2k–4k,0.43534288527392334,0.9974589157591239,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 3.m4a",4000.0,8000.0,,4k–8k,0.3980646333008093,0.9950388874567055,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 4.m4a",125.0,250.0,,125–250,0.18637664472671225,0.9872621895705731,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 4.m4a",250.0,500.0,,250–500,0.48889352682198595,0.9939509500964336,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 4.m4a",500.0,2000.0,,500–2k,0.4672512766738749,0.9975262311098504,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 4.m4a",2000.0,4000.0,,2k–4k,0.43898966963249386,0.9951070254986352,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, centre, open, mic, 4.m4a",4000.0,8000.0,,4k–8k,0.39933473188649954,0.9958297118465905,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 1.m4a",125.0,250.0,,125–250,4.127275,0.36519845872351137,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 1.m4a",250.0,500.0,,250–500,0.4835099171422065,0.9888325190877504,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 1.m4a",500.0,2000.0,,500–2k,0.5117288572535573,0.997926648262805,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 1.m4a",2000.0,4000.0,,2k–4k,0.4906868028808101,0.9979926134995843,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 1.m4a",4000.0,8000.0,,4k–8k,0.45510821968829346,0.9978496066788891,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 2.m4a",125.0,250.0,,125–250,4.905582291666667,0.39340904901114965,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 2.m4a",250.0,500.0,,250–500,0.48026625634425224,0.9891404788485983,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 2.m4a",500.0,2000.0,,500–2k,0.5078096190446686,0.9982556958412027,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 2.m4a",2000.0,4000.0,,2k–4k,0.4791246298157324,0.9980323717500831,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 2.m4a",4000.0,8000.0,,4k–8k,0.44159796509641663,0.9974829242848424,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 3.m4a",125.0,250.0,,125–250,4.488136458333334,0.3702205797364914,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 3.m4a",250.0,500.0,,250–500,0.6053771640095903,0.9750428774833696,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 3.m4a",500.0,2000.0,,500–2k,0.4928771542251363,0.9985887961102028,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 3.m4a",2000.0,4000.0,,2k–4k,0.44664632736947035,0.9967628184317374,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 3.m4a",4000.0,8000.0,,4k–8k,0.42353556717335605,0.9955546050507774,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 4.m4a",125.0,250.0,,125–250,4.795916666666666,0.8055044376475903,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 4.m4a",250.0,500.0,,250–500,0.5557384171041839,0.9662842128896463,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 4.m4a",500.0,2000.0,,500–2k,0.4955945072034302,0.9967747000527258,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 4.m4a",2000.0,4000.0,,2k–4k,0.4929365486114899,0.9964865812464055,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, closed, mic, 4.m4a",4000.0,8000.0,,4k–8k,0.42859179468346026,0.9945739947270211,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 1.m4a",125.0,250.0,,125–250,10.250499999999999,0.8987484472657129,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 1.m4a",250.0,500.0,,250–500,10.239990624999999,0.8196708158208671,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 1.m4a",500.0,2000.0,,500–2k,2.9826619800466996,0.5128858508983655,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 1.m4a",2000.0,4000.0,,2k–4k,0.4300416538827481,0.9889318719617273,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 1.m4a",4000.0,8000.0,,4k–8k,0.38332156179496146,0.970782338435927,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 2.m4a",125.0,250.0,,125–250,5.017286458333333,0.8897971046945945,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 2.m4a",250.0,500.0,,250–500,5.015722916666666,0.39278670411329036,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 2.m4a",500.0,2000.0,,500–2k,0.45323261919533947,0.9849068022343792,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 2.m4a",2000.0,4000.0,,2k–4k,0.3922026837756675,0.9656039453890695,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 2.m4a",4000.0,8000.0,,4k–8k,0.37632407325813083,0.9820384176714017,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 3.m4a",125.0,250.0,,125–250,0.9660708333333333,0.6310870066254961,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 3.m4a",250.0,500.0,,250–500,0.4737025984956872,0.9718158311699049,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 3.m4a",500.0,2000.0,,500–2k,0.4231710933243524,0.9938998830546595,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 3.m4a",2000.0,4000.0,,2k–4k,0.414716086122024,0.9883471072852689,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 3.m4a",4000.0,8000.0,,4k–8k,0.4038867499093085,0.9904522831747328,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 4.m4a",125.0,250.0,,125–250,4.867423958333333,0.3457335864747577,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 4.m4a",250.0,500.0,,250–500,0.4196215687630466,0.9751819942148947,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 4.m4a",500.0,2000.0,,500–2k,0.43860191129675596,0.985617109114711,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 4.m4a",2000.0,4000.0,,2k–4k,0.3904938760398266,0.9721060674678352,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, corner, open, mic, 4.m4a",4000.0,8000.0,,4k–8k,0.3669392819880693,0.9750926864884674,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 1.m4a",125.0,250.0,,125–250,1.2045921211738997,0.7566255132384951,REG,CHECK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 1.m4a",250.0,500.0,,250–500,0.45569658004725305,0.9708048096310022,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 1.m4a",500.0,2000.0,,500–2k,0.4693592942304302,0.9970094447467592,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 1.m4a",2000.0,4000.0,,2k–4k,0.4808633136756057,0.9994945201246382,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 1.m4a",4000.0,8000.0,,4k–8k,0.47994435022378096,0.9981392939112461,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 2.m4a",125.0,250.0,,125–250,3.389758333333333,0.6128596889285511,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 2.m4a",250.0,500.0,,250–500,0.5405672089149618,0.9833455408049412,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 2.m4a",500.0,2000.0,,500–2k,0.48313699287067624,0.9975608397460507,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 2.m4a",2000.0,4000.0,,2k–4k,0.4745136195518261,0.9972333339451753,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 2.m4a",4000.0,8000.0,,4k–8k,0.44004862889896573,0.997807396312503,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 3.m4a",125.0,250.0,,125–250,2.6381697916666664,0.508641475547167,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 3.m4a",250.0,500.0,,250–500,0.7369383696350508,0.9307886029592716,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 3.m4a",500.0,2000.0,,500–2k,0.47206545169102404,0.9973689613027802,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 3.m4a",2000.0,4000.0,,2k–4k,0.46845887631998895,0.9981240507205213,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 3.m4a",4000.0,8000.0,,4k–8k,0.4442819773719598,0.9976270569606364,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 4.m4a",125.0,250.0,,125–250,5.021502083333333,0.6404682975218408,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 4.m4a",250.0,500.0,,250–500,5.020176041666666,0.3290291790132923,REG,CHECK,True,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 4.m4a",500.0,2000.0,,500–2k,0.505215479855472,0.9984161645756814,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 4.m4a",2000.0,4000.0,,2k–4k,0.5005665155127715,0.9982477534560041,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, closed, mic, 4.m4a",4000.0,8000.0,,4k–8k,0.46854334700327227,0.9973203665808807,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, open, mic, 1.m4a",125.0,250.0,,125–250,0.5380338722338076,0.9014281966002046,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, open, mic, 1.m4a",250.0,500.0,,250–500,0.48788064644096346,0.9854739602869801,REG,OK,False,ML Test · Phone-safe
"Bedroom 1, mid, open, mic, 1.m4a",500.0,2000.0,,500–2k,0.4727875004802089,0.9969534462147938,REG,OK,False,ML Test · Phone-safe
