file,rt60_s,edt_s,r2,c50_db,c80_db,snr_db,quality,method,mode,capped,spl_leq_db,spl_lmax_db,spl_l10_db,spl_l90_db
0.3.wav,0.26003664364972784,0.1127064141312071,0.9176680592461006,23.4188534204864,29.246045301801264,119.16301568643915,OK,REG,ML Test · Reference Octaves,False,46.272178649902344,54.05369047691013,54.05369047691013,-62.16736717660608
0.6.wav,0.6109967080598592,0.123219404758346,0.9788545169269968,15.456564881215439,17.204508177944906,118.67485506940619,OK,REG,ML Test · Reference Octaves,False,46.068843841552734,53.14191746877652,53.141912750768014,-62.16999870203937
0.wav,0.10971310290155457,0.17012383510703635,0.9931410691932525,24.671831529474787,40.79670066495642,122.99086302348344,OK,REG,ML Test · Reference Octaves,False,54.80890655517578,62.68355815910374,62.68355815910374,-62.21387622795331
1.2.wav,1.1572105061871512,0.19925666852992271,0.9944662359243338,10.598520458600076,11.600238864622273,118.5472293108634,OK,REG,ML Test · Reference Octaves,False,46.52603530883789,53.93969193097658,53.93786532533886,-62.47469336636256
2.4.wav,2.237917649653332,1.6170341371137433,0.998717037467508,6.481263781308062,6.980687007276677,119.61371766203206,OK,REG,ML Test · Reference Octaves,False,47.724796295166016,55.87572852809745,53.95198588553137,-61.945402110032
Bathroom clap.m4a,1.5057226013762144,1.452956704564604,0.9921820568388585,-5.0416630254373445,-1.1881607951119229,51.24933452183182,OK,REG,ML Test · Reference Octaves,False,59.079837799072266,65.66436051448296,65.65858663731785,40.53767703195824
Bathroom lol.m4a,1.288956597689047,11.573491799733613,0.9652799036751307,-10.504864211703316,-9.219728981971949,54.198498613342174,OK,REG,ML Test · Reference Octaves,False,74.04753112792969,78.43815192660574,78.40276751713792,44.57954988430385
Bathroom test 1.m4a,3.3862354166666666,1.3376333558957085,0.7461093619051962,-0.5436520721216752,2.745905885899756,40.87945972661374,CHECK,REG,ML Test · Reference Octaves,True,59.7806282043457,63.65726594981929,63.018228630083506,56.533156347178796
Bathroom test 2.m4a,1.472652960237326,1.1709876650430446,0.9806426879676754,-0.5664331613003069,2.5831874521554443,49.079176674621976,OK,REG,ML Test · Reference Octaves,False,59.9605598449707,67.35096091064365,67.23507701529687,50.46841162923274
Bathroom test 3.m4a,2.882339583333333,1.295831420833313,0.7085644335396621,-1.2755145083506658,2.126117481716434,56.92490567768907,CHECK,REG,ML Test · Reference Octaves,True,58.7218132019043,65.53216547692023,65.50682256007295,46.6541906864353
Drum clap.m4a,0.941034726163778,0.709379130593187,0.9709225909413824,2.602046699887181,5.392164467319657,51.43029054073514,OK,REG,ML Test · Reference Octaves,False,52.187095642089844,57.58179260752835,57.49509451530694,40.08095126350208
Drum lol.m4a,1.4373886635476254,8.21536150903217,0.8265422396410734,-11.789263140047137,-8.657557288349778,11.909913103380582,CHECK,REG,ML Test · Reference Octaves,False,72.1907958984375,77.03409217450545,76.92148293186548,41.34207110349698
Drum test 1.m4a,4.004091666666666,0.6422186756537687,0.5389618001833419,1.192353370631741,5.901287443856694,52.85201957724543,CHECK,REG,ML Test · Reference Octaves,True,54.235355377197266,61.09833920522493,60.41063815556116,45.12477916839481
Drum test 2.m4a,3.262695833333333,0.5936000887977776,0.5366227869104545,3.5227926732657187,6.96057868914513,53.30913999679045,CHECK,REG,ML Test · Reference Octaves,True,52.93318176269531,59.58775835354736,59.58163855260458,42.20353251708514
Drum test 3.m4a,3.3218927083333334,0.5476818096082275,0.49521942845748873,3.9005661000668597,8.008537832202736,53.36351837648937,CHECK,REG,ML Test · Reference Octaves,True,52.76517105102539,59.30596797179842,59.11985385186687,44.066284808185884
