file,band_lo_hz,band_hi_hz,band_label,band_tag,rt60_s,r2,method,quality,capped,mode
"Bathroom, centre, closed, phone, 1.m4a",20.0,250.0,Sub/Bass,Sub/Bass (20–250),3.9404614583333335,0.5312793687083346,REG,CHECK,True,ML 2 · Musician
"Bathroom, centre, closed, phone, 1.m4a",250.0,500.0,Low-Mid,Low-Mid (250–500),1.0722123309712497,0.9974901427271748,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 1.m4a",500.0,2000.0,Mid,Mid (500–2k),1.3160024469281388,0.9983567861854508,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 1.m4a",2000.0,4000.0,High-Mid,High-Mid (2k–4k),0.9942611366844162,0.9995259262438735,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 1.m4a",4000.0,6000.0,Presence,Presence (4k–6k),0.9008443159816044,0.9988329282775076,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 1.m4a",6000.0,20000.0,Air,Air (6k–20k),0.7723175683091007,0.9993784233896863,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 2.m4a",20.0,250.0,Sub/Bass,Sub/Bass (20–250),1.6086727541601107,0.9104013988374404,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 2.m4a",250.0,500.0,Low-Mid,Low-Mid (250–500),1.5986991499925467,0.9589628910669951,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 2.m4a",500.0,2000.0,Mid,Mid (500–2k),1.2671932261619596,0.998885259911632,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 2.m4a",2000.0,4000.0,High-Mid,High-Mid (2k–4k),0.9968437033970722,0.9997076686232012,REG,OK,False,ML 2 · Musician
"Bathroom, centre, closed, phone, 2.m4a",4000.0,6000.0,Presence,Presence (4k–6k),0.8900120930991059,0.9990935147179292,REG,OK,False,ML 2 · Musician
